"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"77","centres","","1a545523-6296-458a-ae08-1b531d4d6f07","point","15994.504303,20321.619263,0.000000","","","",""
"78","centres","","1b2db64b-aa6d-4962-9191-8facfc37bdb2","point","18512.701569,21183.456586,0.000000","","","",""
"79","centres","","1b6b1bb9-1690-4db4-8b31-492fb08fc60a","point","17827.763980,20606.480432,0.000000","","","",""
"80","centres","","1c54f42d-c0bd-47cd-aac2-7c499fcbecfd","point","17231.838277,21296.576939,0.000000","","","",""
"81","centres","","1c69fd95-1c49-4906-8552-bf2d0cb97c68","point","17829.402364,20444.017537,0.000000","","","",""
"82","centres","","1c6ad1a3-51e3-44a3-8877-0db6ed01bcc5","point","18506.517017,20857.814415,0.000000","","","",""
"83","centres","","1c73f4f2-35c7-480e-a99a-db8ac1492e0a","point","16238.250654,19611.310323,0.000000","","","",""
"84","centres","","1c890153-c0d6-4b0f-b26e-1f8cd5748bb8","point","18495.299851,21107.826494,0.000000","","","",""
"85","centres","","1cbdc753-19a3-4832-bd27-f95c0a4e4b37","point","17165.440148,21183.781479,0.000000","","","",""
"86","centres","","1ce478d7-d74e-402b-a8f6-bb0a0dc5dd38","point","18364.343748,21031.040959,0.000000","","","",""
"87","centres","","1d909ace-2460-43cf-8a4f-4f0d9edc96f7","point","15648.557802,18860.918171,0.000000","","","",""
"88","centres","","1d96d704-13c2-4078-8d1a-3436eaef7528","point","15252.609900,21501.529328,0.000000","","","",""
"89","centres","","1e68fe1d-ad5c-414a-b48e-fe5702690562","point","16422.090871,20119.044295,0.000000","","","",""
"90","centres","","1e741ac2-b15b-42f4-8664-0d9bd738a8f8","point","18298.634875,21356.174762,0.000000","","","",""
"91","centres","","1f648691-a305-4469-84a0-f669f4f0b975","point","15119.294848,21732.537487,0.000000","","","",""
"92","centres","","1f8881e5-cfef-49cf-914c-96e161b62483","point","18379.065761,21272.166076,0.000000","","","",""
